,plate,sal,las,chlor,fraction,std
195,5,0.0,1.0,-,0.03266019393492312,0.0009351742089564726
196,5,0.0,3.0,+,0.012987459097083733,0.0007246560357182449
197,5,0.0,3.0,-,0.03082423316517833,8.404077885743462e-05
198,5,0.0,10.0,+,0.014099345400041215,0.00029331299180985235
199,5,0.0,10.0,-,0.03400680102076116,0.0044075842760392765
200,5,5.0,0.3,+,0.506372691713108,0.017593154521377132
201,5,5.0,0.3,-,0.8376569013279571,0.028687741227586168
202,5,5.0,1.0,+,0.6098570190465651,0.022324920333846823
203,5,5.0,1.0,-,0.8634936694654873,0.02068303597769016
204,5,5.0,3.0,+,0.633574098619061,0.019896148393782162
205,5,5.0,3.0,-,0.8413163931544301,0.04911836578768864
206,5,5.0,10.0,+,0.6429851317576321,0.04023978059295878
207,5,5.0,10.0,-,0.8826448298338951,0.011756281933409257
208,5,7.5,0.3,+,0.8169083352172495,0.011035114747504012
209,5,7.5,0.3,-,0.9797537763454566,0.0010403906457094592
210,5,7.5,1.0,+,0.822992149361419,0.008941443826888901
211,5,7.5,1.0,-,0.9809010368522568,0.0009471847095112163
212,5,7.5,3.0,+,0.8602201489125489,0.02330232099576975
213,5,7.5,3.0,-,0.9818927793177077,0.0003238233434154014
214,5,7.5,10.0,+,0.8847633387210093,0.04126985796805739
215,5,7.5,10.0,-,0.984389686626487,0.0043392189350841565
216,5,10.0,0.3,+,0.40820457917398645,0.039965330191265594
217,5,10.0,0.3,-,0.978084156018149,0.002137454024147763
218,5,10.0,1.0,+,0.2895187343833021,0.0016572818244048855
219,5,10.0,1.0,-,0.9786205126154945,0.0005507957354699189
220,5,10.0,3.0,+,0.39548897831298757,0.03468426976239291
221,5,10.0,3.0,-,0.9812904628290458,0.0017640069087256705
222,5,10.0,10.0,+,0.3952429535048227,0.15287115457486494
223,5,10.0,10.0,-,0.982818645332207,0.00383245570138075
224,6,0.0,0.3,+,0.008365980789526812,0.00010758771449476026
225,6,0.0,0.3,-,0.03385139363528633,0.004916985009039498
226,6,0.0,1.0,+,0.01191108253715067,0.0010140656340491662
227,6,0.0,1.0,-,0.03800544185596337,0.0036109652379258087
228,6,0.0,3.0,+,0.013970146625299013,0.0003649170969331426
229,6,0.0,3.0,-,0.03702503537868688,0.001534267684243216
230,6,0.0,10.0,+,0.014159127054383568,0.0001390153380027601
231,6,0.0,10.0,-,0.037275244845620226,0.004843015951563909
232,6,5.0,0.3,+,0.4158880740900637,0.006749279397211184
233,6,5.0,0.3,-,0.867608394126149,0.022905462171150474
234,6,5.0,1.0,+,0.531556380881016,0.021290435822770057
235,6,5.0,1.0,-,0.892733861967852,0.011360906619332024
236,6,5.0,3.0,+,0.5647954643540223,0.00046465177883101477
237,6,5.0,3.0,-,0.8852562098290301,0.033758867439936904
238,6,5.0,10.0,+,0.5861720368706296,0.010559734716672585
239,6,5.0,10.0,-,0.9159383962400938,0.0005764037093219068
240,6,7.5,0.3,+,0.7584755084027115,0.0008637063417997399
241,6,7.5,0.3,-,0.9733432872640785,0.0023237203133757607
242,6,7.5,1.0,+,0.7993589021618152,0.007755773801701734
243,6,7.5,1.0,-,0.9756097493658771,0.0014517325166733973
244,6,7.5,3.0,+,0.8043760018980866,0.007257197302301831
245,6,7.5,3.0,-,0.9770250429647822,0.0037634897388722287
246,6,7.5,10.0,+,0.8076234118313506,0.04456512306014223
247,6,7.5,10.0,-,0.9774032520221826,0.005444633618664942
248,6,10.0,0.3,+,0.28926173280268225,0.09104823565866003
249,6,10.0,0.3,-,0.9699221338690451,0.0009807022427795313
250,6,10.0,1.0,+,0.17797989786598667,0.004010849656634793
251,6,10.0,1.0,-,0.9725479061669626,0.0006972806707447512
252,6,10.0,3.0,+,0.2634579780539472,0.023207596392445427
253,6,10.0,3.0,-,0.9723111606002246,0.0015946922341285026
254,6,10.0,10.0,+,0.2853947433851057,0.09039096899730897
255,6,10.0,10.0,-,0.973514547743091,0.005477542376910089
