,plate,strain,sal,las,iptg,chlor,Measurement,std
343,8,ctrl,0.0,0,100,-,5755.5,2060.5686108450745
344,8,stem,5.0,3,0,+,595.0,37.0315181073276
345,8,stem,5.0,3,0,-,862.25,13.81725973797506
346,8,stem,5.0,3,10,+,19468.75,1709.902604438822
347,8,stem,5.0,3,10,-,25316.25,2713.8822591753437
348,8,stem,5.0,3,30,+,17803.25,1835.0448450469362
349,8,stem,5.0,3,30,-,16281.25,1508.4542585043803
350,8,stem,5.0,3,100,+,10502.5,1147.9263913683662
351,8,stem,5.0,3,100,-,10615.25,1118.2025383027292
352,8,stem,7.5,3,0,+,490.5,63.10044902111764
353,8,stem,7.5,3,0,-,868.25,15.628499608087768
354,8,stem,7.5,3,10,+,29010.0,2243.431746231652
355,8,stem,7.5,3,10,-,42660.0,2028.369624435677
356,8,stem,7.5,3,30,+,29223.5,4628.640153075919
357,8,stem,7.5,3,30,-,21413.5,2138.4993959939916
358,8,stem,7.5,3,100,+,24640.25,1590.5301789026194
359,8,stem,7.5,3,100,-,19374.25,1225.008129224728
360,8,stem,10.0,3,0,+,269.5,41.71930009000631
361,8,stem,10.0,3,0,-,882.5,4.949747468305833
362,8,stem,10.0,3,10,+,17822.0,831.5575746753799
363,8,stem,10.0,3,10,-,44138.0,1057.831744655075
364,8,stem,10.0,3,30,+,19481.5,1492.7024150848017
365,8,stem,10.0,3,30,-,18552.5,381.1305550595491
366,8,stem,10.0,3,100,+,17200.5,837.9215357060588
367,8,stem,10.0,3,100,-,13972.5,1061.3672785610079
368,8,stem,12.5,3,0,+,236.0,21.213203435596427
369,8,stem,12.5,3,0,-,868.0,4.242640687119285
370,8,stem,12.5,3,10,+,17050.5,176.06958851545033
371,8,stem,12.5,3,10,-,45562.0,1274.2064196981587
372,8,stem,12.5,3,30,+,17748.0,405.87929240107826
373,8,stem,12.5,3,30,-,17533.0,729.734198184517
374,8,stem,12.5,3,100,+,13520.0,59.39696961966999
375,8,stem,12.5,3,100,-,12219.5,253.85133444597056
376,8,stem,15.0,3,0,+,232.5,36.062445840513924
377,8,stem,15.0,3,0,-,869.0,0.0
378,8,stem,15.0,3,10,+,15314.0,926.3098833543772
379,8,stem,15.0,3,10,-,45861.5,536.6940469205896
380,8,stem,15.0,3,30,+,16584.5,23.33452377915607
381,8,stem,15.0,3,30,-,15865.5,328.8046532517446
382,8,stem,15.0,3,100,+,10824.5,112.42997820866105
383,8,stem,15.0,3,100,-,11820.0,340.82546853191593
384,9,HCA_1,0.0,0,0,-,133.5,0.7071067811865476
385,9,HCA_2,0.0,0,0,-,135.5,3.5355339059327378
386,9,HCA_3,0.0,0,0,-,140.5,3.5355339059327378
387,9,LNL,0.0,0,0,-,24.5,0.7071067811865476
388,9,ctrl,0.0,0,0,-,855.5,49.271357467261495
389,9,ctrl,0.0,0,10,-,46290.25,1766.3307306390843
390,9,ctrl,0.0,0,30,-,11315.75,418.18048336414097
391,9,ctrl,0.0,0,100,-,5888.0,2086.738284181001
392,9,stem,5.0,3,0,+,562.75,38.36991008589934
393,9,stem,5.0,3,0,-,864.25,20.155644370746387
394,9,stem,5.0,3,10,+,21993.5,2157.6491064736797
395,9,stem,5.0,3,10,-,28551.5,3243.0259018392067
396,9,stem,5.0,3,30,+,19940.5,1495.846360203257
397,9,stem,5.0,3,30,-,18298.5,1538.249762988226
398,9,stem,5.0,3,100,+,11841.0,1385.5882024132086
399,9,stem,5.0,3,100,-,11852.75,1162.9285948271574
400,9,stem,7.5,3,0,+,350.0,26.05123157677323
401,9,stem,7.5,3,0,-,865.5,19.706175005143255
402,9,stem,7.5,3,10,+,29339.0,2210.8841368707376
403,9,stem,7.5,3,10,-,45396.5,2118.16186035597
404,9,stem,7.5,3,30,+,29408.75,4646.148324149801
405,9,stem,7.5,3,30,-,21560.5,2136.123982044738
406,9,stem,7.5,3,100,+,24842.75,1635.983368904872
407,9,stem,7.5,3,100,-,19508.75,1253.3029362448654
408,9,stem,10.0,3,0,+,251.0,46.66904755831214
409,9,stem,10.0,3,0,-,862.0,7.0710678118654755
410,9,stem,10.0,3,10,+,18154.0,1036.6185412194786
411,9,stem,10.0,3,10,-,45298.0,1336.431816442575
412,9,stem,10.0,3,30,+,19649.0,1487.752667616496
413,9,stem,10.0,3,30,-,18697.5,383.9589821842953
414,9,stem,10.0,3,100,+,17419.0,750.9474016201135
415,9,stem,10.0,3,100,-,14117.5,1061.3672785610079
416,9,stem,12.5,3,0,+,224.5,4.949747468305833
417,9,stem,12.5,3,0,-,865.5,13.435028842544403
418,9,stem,12.5,3,10,+,17206.0,175.36248173426378
419,9,stem,12.5,3,10,-,46961.0,1736.6542545941606
420,9,stem,12.5,3,30,+,17900.5,410.82903986938413
421,9,stem,12.5,3,30,-,17677.0,725.4915574973977
422,9,stem,12.5,3,100,+,13673.0,55.154328932550705
423,9,stem,12.5,3,100,-,12360.0,247.48737341529164
424,9,stem,15.0,3,0,+,236.0,42.42640687119285
425,9,stem,15.0,3,0,-,873.5,6.363961030678928
426,9,stem,15.0,3,10,+,15532.5,1020.3550852521881
427,9,stem,15.0,3,10,-,47890.5,17.67766952966369
428,9,stem,15.0,3,30,+,16734.0,19.79898987322333
429,9,stem,15.0,3,30,-,16018.5,321.7335854398791
430,9,stem,15.0,3,100,+,10983.0,128.69343417595164
431,9,stem,15.0,3,100,-,11960.5,335.87572106361006
