,plate,strain,sal,las,iptg,chlor,replicate,Measurement
458,5,stem,12.5,3,30,-,1,144.0
459,5,stem,12.5,3,30,-,2,134.0
460,5,stem,12.5,3,100,+,1,204.0
461,5,stem,12.5,3,100,+,2,145.0
462,5,stem,12.5,3,100,-,1,236.0
463,5,stem,12.5,3,100,-,2,218.0
464,5,stem,15.0,3,0,+,1,476.0
465,5,stem,15.0,3,0,+,2,494.0
466,5,stem,15.0,3,0,-,1,886.0
467,5,stem,15.0,3,0,-,2,899.0
468,5,stem,15.0,3,10,+,1,415.0
469,5,stem,15.0,3,10,+,2,378.0
470,5,stem,15.0,3,10,-,1,6047.0
471,5,stem,15.0,3,10,-,2,6113.0
472,5,stem,15.0,3,30,+,1,157.0
473,5,stem,15.0,3,30,+,2,137.0
474,5,stem,15.0,3,30,-,1,130.0
475,5,stem,15.0,3,30,-,2,128.0
476,5,stem,15.0,3,100,+,1,143.0
477,5,stem,15.0,3,100,+,2,147.0
478,5,stem,15.0,3,100,-,1,261.0
479,5,stem,15.0,3,100,-,2,253.0
480,6,HCA_1,0.0,0,0,-,1,14.0
481,6,HCA_1,0.0,0,0,-,2,11.0
482,6,HCA_2,0.0,0,0,-,1,11.0
483,6,HCA_2,0.0,0,0,-,2,11.0
484,6,HCA_3,0.0,0,0,-,1,14.0
485,6,HCA_3,0.0,0,0,-,2,12.0
486,6,LNL,0.0,0,0,-,1,17.0
487,6,LNL,0.0,0,0,-,2,11.0
488,6,ctrl,0.0,0,0,-,1,815.0
489,6,ctrl,0.0,0,0,-,2,829.0
490,6,ctrl,0.0,0,10,-,1,5750.0
491,6,ctrl,0.0,0,10,-,2,5662.0
492,6,ctrl,0.0,0,30,-,1,143.0
493,6,ctrl,0.0,0,30,-,2,133.0
494,6,ctrl,0.0,0,100,-,1,149.0
495,6,ctrl,0.0,0,100,-,2,146.0
496,6,stem,5.0,3,0,+,1,523.0
497,6,stem,5.0,3,0,+,2,502.0
498,6,stem,5.0,3,0,-,1,811.0
499,6,stem,5.0,3,0,-,2,836.0
500,6,stem,5.0,3,10,+,1,1903.0
501,6,stem,5.0,3,10,+,2,2475.0
502,6,stem,5.0,3,10,-,1,3541.0
503,6,stem,5.0,3,10,-,2,3802.0
504,6,stem,5.0,3,30,+,1,2019.0
505,6,stem,5.0,3,30,+,2,2173.0
506,6,stem,5.0,3,30,-,1,1922.0
507,6,stem,5.0,3,30,-,2,1495.0
508,6,stem,5.0,3,100,+,1,1434.0
509,6,stem,5.0,3,100,+,2,1265.0
510,6,stem,5.0,3,100,-,1,881.0
511,6,stem,5.0,3,100,-,2,1374.0
512,6,stem,7.5,3,0,+,1,644.0
513,6,stem,7.5,3,0,+,2,735.0
514,6,stem,7.5,3,0,-,1,870.0
515,6,stem,7.5,3,0,-,2,910.0
516,6,stem,7.5,3,10,+,1,2691.0
517,6,stem,7.5,3,10,+,2,3344.0
518,6,stem,7.5,3,10,-,1,5661.0
519,6,stem,7.5,3,10,-,2,6026.0
520,6,stem,7.5,3,30,+,1,616.0
521,6,stem,7.5,3,30,+,2,215.0
522,6,stem,7.5,3,30,-,1,144.0
523,6,stem,7.5,3,30,-,2,150.0
524,6,stem,7.5,3,100,+,1,1404.0
525,6,stem,7.5,3,100,+,2,457.0
526,6,stem,7.5,3,100,-,1,279.0
527,6,stem,7.5,3,100,-,2,301.0
528,6,stem,10.0,3,0,+,1,310.0
529,6,stem,10.0,3,0,+,2,579.0
530,6,stem,10.0,3,0,-,1,872.0
531,6,stem,10.0,3,0,-,2,918.0
532,6,stem,10.0,3,10,+,1,337.0
533,6,stem,10.0,3,10,+,2,612.0
534,6,stem,10.0,3,10,-,1,5607.0
535,6,stem,10.0,3,10,-,2,5674.0
536,6,stem,10.0,3,30,+,1,208.0
537,6,stem,10.0,3,30,+,2,157.0
538,6,stem,10.0,3,30,-,1,146.0
539,6,stem,10.0,3,30,-,2,144.0
540,6,stem,10.0,3,100,+,1,180.0
541,6,stem,10.0,3,100,+,2,153.0
542,6,stem,10.0,3,100,-,1,169.0
543,6,stem,10.0,3,100,-,2,157.0
544,6,stem,12.5,3,0,+,1,307.0
545,6,stem,12.5,3,0,+,2,315.0
546,6,stem,12.5,3,0,-,1,876.0
547,6,stem,12.5,3,0,-,2,923.0
548,6,stem,12.5,3,10,+,1,225.0
549,6,stem,12.5,3,10,+,2,467.0
550,6,stem,12.5,3,10,-,1,5520.0
551,6,stem,12.5,3,10,-,2,5792.0
552,6,stem,12.5,3,30,+,1,157.0
553,6,stem,12.5,3,30,+,2,153.0
554,6,stem,12.5,3,30,-,1,141.0
555,6,stem,12.5,3,30,-,2,146.0
556,6,stem,12.5,3,100,+,1,198.0
557,6,stem,12.5,3,100,+,2,154.0
558,6,stem,12.5,3,100,-,1,169.0
559,6,stem,12.5,3,100,-,2,166.0
560,6,stem,15.0,3,0,+,1,445.0
561,6,stem,15.0,3,0,+,2,468.0
562,6,stem,15.0,3,0,-,1,859.0
563,6,stem,15.0,3,0,-,2,920.0
564,6,stem,15.0,3,10,+,1,271.0
565,6,stem,15.0,3,10,+,2,263.0
566,6,stem,15.0,3,10,-,1,5663.0
567,6,stem,15.0,3,10,-,2,5931.0
568,6,stem,15.0,3,30,+,1,160.0
569,6,stem,15.0,3,30,+,2,141.0
570,6,stem,15.0,3,30,-,1,137.0
571,6,stem,15.0,3,30,-,2,133.0
572,6,stem,15.0,3,100,+,1,138.0
573,6,stem,15.0,3,100,+,2,148.0
574,6,stem,15.0,3,100,-,1,185.0
575,6,stem,15.0,3,100,-,2,181.0
576,7,HCA_1,0.0,0,0,-,1,14.0
577,7,HCA_1,0.0,0,0,-,2,11.0
578,7,HCA_2,0.0,0,0,-,1,13.0
579,7,HCA_2,0.0,0,0,-,2,13.0
580,7,HCA_3,0.0,0,0,-,1,10.0
581,7,HCA_3,0.0,0,0,-,2,11.0
