,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
112,112,112,112,112,0,1e-06,1e-09,1e-09,0.042707767,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
113,113,113,113,113,0,1e-06,1e-09,1e-12,0.042707767,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
114,114,114,114,114,0,1e-06,1e-09,0.0,0.042707767,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
115,115,115,115,115,0,1e-06,1e-12,0.001,0.042945005999999994,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,76,4
116,116,116,116,116,0,1e-06,1e-12,1e-06,0.041629397,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,111,4
117,117,117,117,117,0,1e-06,1e-12,1e-09,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
118,118,118,118,118,0,1e-06,1e-12,1e-12,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
119,119,119,119,119,0,1e-06,1e-12,0.0,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
120,120,120,120,120,0,1e-09,0.001,0.001,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
121,121,121,121,121,0,1e-09,0.001,1e-06,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
122,122,122,122,122,0,1e-09,0.001,1e-09,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
123,123,123,123,123,0,1e-09,0.001,1e-12,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
124,124,124,124,124,0,1e-09,0.001,0.0,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
125,125,125,125,125,0,1e-09,1e-06,0.001,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
126,126,126,126,126,0,1e-09,1e-06,1e-06,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
127,127,127,127,127,0,1e-09,1e-06,1e-09,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
128,128,128,128,128,0,1e-09,1e-06,1e-12,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
129,129,129,129,129,0,1e-09,1e-06,0.0,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
130,130,130,130,130,0,1e-09,1e-09,0.001,0.042707588,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
131,131,131,131,131,0,1e-09,1e-09,1e-06,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
132,132,132,132,132,0,1e-09,1e-09,1e-09,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
133,133,133,133,133,0,1e-09,1e-09,1e-12,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
134,134,134,134,134,0,1e-09,1e-09,0.0,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
135,135,135,135,135,0,1e-09,1e-12,0.001,0.042510039000000006,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,112,4
136,136,136,136,136,0,1e-09,1e-12,1e-06,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
137,137,137,137,137,0,1e-09,1e-12,1e-09,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
138,138,138,138,138,0,1e-09,1e-12,1e-12,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
139,139,139,139,139,0,1e-09,1e-12,0.0,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
140,140,140,140,140,0,1e-12,0.001,0.001,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
141,141,141,141,141,0,1e-12,0.001,1e-06,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
142,142,142,142,142,0,1e-12,0.001,1e-09,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
143,143,143,143,143,0,1e-12,0.001,1e-12,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
144,144,144,144,144,0,1e-12,0.001,0.0,0.065209688,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,13,4
145,145,145,145,145,0,1e-12,1e-06,0.001,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
146,146,146,146,146,0,1e-12,1e-06,1e-06,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
147,147,147,147,147,0,1e-12,1e-06,1e-09,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
148,148,148,148,148,0,1e-12,1e-06,1e-12,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
149,149,149,149,149,0,1e-12,1e-06,0.0,0.04497034900000002,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,44,4
150,150,150,150,150,0,1e-12,1e-09,0.001,0.042685824000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
151,151,151,151,151,0,1e-12,1e-09,1e-06,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
152,152,152,152,152,0,1e-12,1e-09,1e-09,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
153,153,153,153,153,0,1e-12,1e-09,1e-12,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
154,154,154,154,154,0,1e-12,1e-09,0.0,0.042931647999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,81,4
155,155,155,155,155,0,1e-12,1e-12,0.001,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
156,156,156,156,156,0,1e-12,1e-12,1e-06,0.042036399,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,118,4
