,Unnamed: 0,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffproduction,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_div,production
33,0,1e-06,1e-09,1e-12,0.018672505,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8385415075.0
34,0,1e-06,1e-09,0.0,0.018672505,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8385415078.0
35,0,1e-06,1e-12,0.001,1.18723903,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,10520987777.0
36,0,1e-06,1e-12,1e-06,0.013539907,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,10963390125.0
37,0,1e-06,1e-12,1e-09,0.012897045,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11869638762.0
38,0,1e-06,1e-12,1e-12,0.01289766,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11872146565.0
39,0,1e-06,1e-12,0.0,0.012897436000000002,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11872146868.0
40,0,1e-09,0.001,0.001,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6470531922.0
41,0,1e-09,0.001,1e-06,0.08705331,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877094158.0
42,0,1e-09,0.001,1e-09,0.08705371099999999,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877063759.0
43,0,1e-09,0.001,1e-12,0.08705371,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877063729.0
44,0,1e-09,0.001,0.0,0.08705371699999999,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877063729.0
45,0,1e-09,1e-06,0.001,599.9997079,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,12814324275.0
46,0,1e-09,1e-06,1e-06,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,5567684454.0
47,0,1e-09,1e-06,1e-09,0.031149633,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4992644954.0
48,0,1e-09,1e-06,1e-12,0.031149625,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4992644877.0
49,0,1e-09,1e-06,0.0,0.031149626,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4992644879.0
50,0,1e-09,1e-09,0.001,599.0540146000001,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,16785730916.0
51,0,1e-09,1e-09,1e-06,599.9998673,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11910854701.0
52,0,1e-09,1e-09,1e-09,0.017863049,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8389384692.0
53,0,1e-09,1e-09,1e-12,0.017863048,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8389384604.0
54,0,1e-09,1e-09,0.0,0.017863048,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,8389384606.0
55,0,1e-09,1e-12,0.001,49.41267567,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,16854286193.0
56,0,1e-09,1e-12,1e-06,599.9998422,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,15907217146.0
57,0,1e-09,1e-12,1e-09,0.012896898,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11882998008.0
58,0,1e-09,1e-12,1e-12,0.012897347,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11883004607.0
59,0,1e-09,1e-12,0.0,0.012897351000000001,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11883004640.0
60,0,1e-12,0.001,0.001,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6470545279.0
61,0,1e-12,0.001,1e-06,0.087053295,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877094219.0
62,0,1e-12,0.001,1e-09,0.087053716,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877063823.0
63,0,1e-12,0.001,1e-12,0.087053713,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877063793.0
64,0,1e-12,0.001,0.0,0.087053702,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1877063791.0
65,0,1e-12,1e-06,0.001,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,12827350183.0
66,0,1e-12,1e-06,1e-06,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,5567697543.0
67,0,1e-12,1e-06,1e-09,0.03114962,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4992645803.0
68,0,1e-12,1e-06,1e-12,0.031149597,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4992645684.0
69,0,1e-12,1e-06,0.0,0.031149614,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4992645733.0
70,0,1e-12,1e-09,0.001,599.999933,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,19173787280.0
71,0,1e-12,1e-09,1e-06,599.9996526000001,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,11922807710.0
