,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
139,139,139,0,1e-09,1e-12,0.0,0.039894635,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,126,8
140,140,140,0,1e-12,0.001,0.001,0.059904371,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
141,141,141,0,1e-12,0.001,1e-06,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
142,142,142,0,1e-12,0.001,1e-09,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
143,143,143,0,1e-12,0.001,1e-12,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
144,144,144,0,1e-12,0.001,0.0,0.059693817999999996,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,14,8
145,145,145,0,1e-12,1e-06,0.001,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
146,146,146,0,1e-12,1e-06,1e-06,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
147,147,147,0,1e-12,1e-06,1e-09,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
148,148,148,0,1e-12,1e-06,1e-12,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
149,149,149,0,1e-12,1e-06,0.0,0.044754444000000004,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,47,8
150,150,150,0,1e-12,1e-09,0.001,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
151,151,151,0,1e-12,1e-09,1e-06,0.040111501,0,diff_select,1.5,0.75,1.5,0.75,1.5,1.5,86,8
